,Accuracy,F1,Precision,Recall,Precision-Recall Curve
id_226,0.9421025514602661,0.96495521068573,0.9821337461471558,0.9483672380447388,"(tensor([0.8405, 0.9821, 1.0000]), tensor([1.0000, 0.9484, 0.0000]), tensor([0., 1.]))"
id_326,0.9421025514602661,0.9651430249214172,0.9768997430801392,0.9536660313606262,"(tensor([0.8405, 0.9769, 1.0000]), tensor([1.0000, 0.9537, 0.0000]), tensor([0., 1.]))"
id_24,0.9425168037414551,0.9651447534561157,0.9841188788414001,0.9468885064125061,"(tensor([0.8405, 0.9841, 1.0000]), tensor([1.0000, 0.9469, 0.0000]), tensor([0., 1.]))"
id_94,0.9425168037414551,0.9652015566825867,0.9825121164321899,0.9484904408454895,"(tensor([0.8405, 0.9825, 1.0000]), tensor([1.0000, 0.9485, 0.0000]), tensor([0., 1.]))"
id_253,0.9429311156272888,0.9652607440948486,0.9882519841194153,0.9433148503303528,"(tensor([0.8405, 0.9883, 1.0000]), tensor([1.0000, 0.9433, 0.0000]), tensor([0., 1.]))"
id_55,0.9427239894866943,0.9654483795166016,0.9792141914367676,0.9520640969276428,"(tensor([0.8405, 0.9792, 1.0000]), tensor([1.0000, 0.9521, 0.0000]), tensor([0., 1.]))"
id_67,0.9423096776008606,0.965478777885437,0.9711970090866089,0.9598274827003479,"(tensor([0.8405, 0.9712, 1.0000]), tensor([1.0000, 0.9598, 0.0000]), tensor([0., 1.]))"
id_284,0.9421025514602661,0.9654831290245056,0.9675742387771606,0.9634011387825012,"(tensor([0.8405, 0.9676, 1.0000]), tensor([1.0000, 0.9634, 0.0000]), tensor([0., 1.]))"
id_132,0.9431382417678833,0.9655042290687561,0.9850000143051147,0.9467652440071106,"(tensor([0.8405, 0.9850, 1.0000]), tensor([1.0000, 0.9468, 0.0000]), tensor([0., 1.]))"
id_328,0.9427239894866943,0.9657012224197388,0.972152829170227,0.9593345522880554,"(tensor([0.8405, 0.9722, 1.0000]), tensor([1.0000, 0.9593, 0.0000]), tensor([0., 1.]))"
id_70,0.9434489607810974,0.965703547000885,0.9848814606666565,0.9472581744194031,"(tensor([0.8405, 0.9849, 1.0000]), tensor([1.0000, 0.9473, 0.0000]), tensor([0., 1.]))"
id_136,0.943552553653717,0.9657254219055176,0.9861289262771606,0.9461491107940674,"(tensor([0.8405, 0.9861, 1.0000]), tensor([1.0000, 0.9461, 0.0000]), tensor([0., 1.]))"
id_84,0.9433454275131226,0.9657375812530518,0.9820381999015808,0.9499691724777222,"(tensor([0.8405, 0.9820, 1.0000]), tensor([1.0000, 0.9500, 0.0000]), tensor([0., 1.]))"
id_160,0.9434489607810974,0.9658365249633789,0.9810601472854614,0.9510782361030579,"(tensor([0.8405, 0.9811, 1.0000]), tensor([1.0000, 0.9511, 0.0000]), tensor([0., 1.]))"
id_331,0.943552553653717,0.9659736156463623,0.9789926409721375,0.9532963633537292,"(tensor([0.8405, 0.9790, 1.0000]), tensor([1.0000, 0.9533, 0.0000]), tensor([0., 1.]))"
id_317,0.9439668655395508,0.9660240411758423,0.9850153923034668,0.9477511048316956,"(tensor([0.8405, 0.9850, 1.0000]), tensor([1.0000, 0.9478, 0.0000]), tensor([0., 1.]))"
id_23,0.9439668655395508,0.9661387801170349,0.9816840291023254,0.9510782361030579,"(tensor([0.8405, 0.9817, 1.0000]), tensor([1.0000, 0.9511, 0.0000]), tensor([0., 1.]))"
id_273,0.9436561465263367,0.966156542301178,0.9756250977516174,0.9568700194358826,"(tensor([0.8405, 0.9756, 1.0000]), tensor([1.0000, 0.9569, 0.0000]), tensor([0., 1.]))"
id_225,0.9436561465263367,0.9663158655166626,0.9711263179779053,0.9615526795387268,"(tensor([0.8405, 0.9711, 1.0000]), tensor([1.0000, 0.9616, 0.0000]), tensor([0., 1.]))"
id_233,0.9439668655395508,0.9663159251213074,0.9765920042991638,0.9562538266181946,"(tensor([0.8405, 0.9766, 1.0000]), tensor([1.0000, 0.9563, 0.0000]), tensor([0., 1.]))"
id_252,0.9458311796188354,0.9672859311103821,0.9822154641151428,0.9528034329414368,"(tensor([0.8405, 0.9822, 1.0000]), tensor([1.0000, 0.9528, 0.0000]), tensor([0., 1.]))"
id_71,0.9460383057594299,0.9673210382461548,0.9850536584854126,0.9502156376838684,"(tensor([0.8405, 0.9851, 1.0000]), tensor([1.0000, 0.9502, 0.0000]), tensor([0., 1.]))"
id_16,0.9464526176452637,0.9675353169441223,0.9864276647567749,0.949353039264679,"(tensor([0.8405, 0.9864, 1.0000]), tensor([1.0000, 0.9494, 0.0000]), tensor([0., 1.]))"
id_43,0.9464526176452637,0.9677982330322266,0.9784634709358215,0.9573628902435303,"(tensor([0.8405, 0.9785, 1.0000]), tensor([1.0000, 0.9574, 0.0000]), tensor([0., 1.]))"
id_215,0.9465562105178833,0.9679264426231384,0.9765458703041077,0.9594578146934509,"(tensor([0.8405, 0.9765, 1.0000]), tensor([1.0000, 0.9595, 0.0000]), tensor([0., 1.]))"
id_129,0.9483169317245483,0.9688417315483093,0.9820253252983093,0.9560074210166931,"(tensor([0.8405, 0.9820, 1.0000]), tensor([1.0000, 0.9560, 0.0000]), tensor([0., 1.]))"
id_109,0.9486276507377625,0.9691925048828125,0.9770820140838623,0.9614294767379761,"(tensor([0.8405, 0.9771, 1.0000]), tensor([1.0000, 0.9614, 0.0000]), tensor([0., 1.]))"
id_277,0.9505955576896667,0.9706226587295532,0.9702044129371643,0.9710412621498108,"(tensor([0.8405, 0.9702, 1.0000]), tensor([1.0000, 0.9710, 0.0000]), tensor([0., 1.]))"
